Title,Screen #,Ink Color,Print,Transfer,Screen,NEW 2024 SIZING,,,
Nap Queen,310W,White,Solid,,,"X- BB (8,10,11,13)",,,
Nap Queen,310B,Black,Solid,,,"X- BB (8,10,11,13)",,,
Already Tired Tomorrow,311W,White,Solid,,,"X- BB (11,13)",,,
Already Tired Tomorrow,311B,Black,Solid,,,"X- BB (11,13)",,,
Sleeping Is My Favorite Sport,312B/W,Black/White,Solid,,,x- PP,,,
,,,,,,,,,
Sarcastic 400-499,,,,,,,,,
I Speak Fluent Sarcasm,401W,White,Solid,X,,"X- BB (11,13)",,,
I Speak Fluent Sarcasm,401B,Black,Solid,X,,"X- BB (11,13)",,,
If My Mouth Doesn't Say it My Face Will,402W,White,Solid,X,X,"X- BB (11,13)",,,
If My Mouth Doesn't Say it My Face Will,402B,Black,Solid,X,X,"X- BB (11,13)",,,
Verbal Filter Not Included,403W,White,Solid,X,,"X- BB (11,13)",,,
Verbal Filter Not Included,403B,Black,Solid,X,,"X- BB (11,13)",,,
I Say What Everybody Else is Thinking,404W,White,Solid,X,X,"X- BB (11,13)",,,
I Say What Everybody Else is Thinking,404B,Black,Solid,X,X,"X- BB (11,13)",,,
Meh,405W,White,Solid,X,X,"X- BB (11,13)",,,
Meh,405B,Black,Solid,X,X,"X- BB (11,13)",,,
I'm Silently Correcting Your Grammer,406W,White,Solid,X,X,"X- BB (11,13)",,,
I'm Silently Correcting Your Grammer,406B,Black,Solid,X,X,"X- BB (11,13)",,,
I Do a Thing Called What I Want,407W,White,DTF,X,,RETIRED DESIGN,,,
I Do a Thing Called What I Want,407B,Black,DTF,X,,RETIRED DESIGN,,,
I Might Be Wrong But I Doubt It,408W,White,Distressed,X,X,"X- BB (11,13)",,,
I Might Be Wrong But I Doubt It,408B,Black,Distressed,X,X,"X- BB (11,13)",,,
I wish people were more fluent in silence,409W,White,Solid,X,,"X- BB (11,13)",,,
I wish people were more fluent in silence,409B,Black,Solid,X,,"X- BB (11,13)",,,
It's Too Peopley,410W,White,Solid,X,X,"X- BB (11,13)",,,
It's Too Peopley,410B,Black,Solid,X,X,"X- BB (11,13)",,,
I'm Not AntiSocial I'm Selectivley Social,411W,White,Solid,X,X,"X- BB (11,13)",,,
I'm Not AntiSocial I'm Selectivley Social,411B,Black,Solid,X,X,"X- BB (11,13)",,,
I Like Long Walks Away From Everybody,412W,White,DTF,X,X,"X- BB (11,13)",,,
I Like Long Walks Away From Everybody,412B,Black,DTF,X,X,"X- BB (11,13)",,,
Go Away I'm Introverting,413W,White,DTF,X,X,"X- BB (11,13)",,,
Go Away I'm Introverting,413B,Black,DTF,X,,"X- BB (11,13)",,,
I'll get over it. Just gotta be dramatic first,414W,White,Distressed,,X,"X- BB (11,13)",,,
I'll get over it. Just gotta be dramatic first,414B,Black,Distressed,,X,"X- BB (11,13)",,,
Fresh sarcasm seved daily,415W,White,Distressed,,X,"X- BB (11,13)",,,
Fresh sarcasm seved daily,415B,Black,Distressed,,X,"X- BB (11,13)",,,
Salty,416W,White,Solid,,X,"X- BB (11,13)",,,
Salty,416B,Black,Solid,,X,"X- BB (11,13)",,,
But first let me overreact,417W,White,Solid,,X,"X- BB (11,13)",,,
But first let me overreact,417B,Black,Solid,,X,"X- BB (11,13)",,,
You can't spell awesome without me,418W,White,Solid,,,RETIRED DESIGN,,,
You can't spell awesome without me,418B,Black,Solid,,,RETIRED DESIGN,,,
Ain't nobody got time for that,419W,White,Solid,,,cant find design ,,,
Ain't nobody got time for that,419B,Black,Solid,,,cant find design ,,,
It's Fine. I'm Fine. Everything is Fine,420W,White,Solid,,X,"X- BB (11,13)",,,
It's Fine. I'm Fine. Everything is Fine,420B,Black,Solid,,X,"X- BB (11,13)",,,
Well that didn't go as planned- story of my life,421W,White,Solid,,X,"X- BB (11,13)",,,
Well that didn't go as planned- story of my life,421B,Black,Solid,,X,"X- BB (11,13)",,,
I Hate Pants and Socializing,422W,White,Solid,,X,cant find design,,,
"I had my patience tested, it was negative",423W,White,Solid,,X,"X- BB (11,13)",,,
"I had my patience tested, it was negative",423B,Black,Solid,,X,"X- BB (11,13)",,,
Apparently I have an attitude,424W,White,Solid,,X,"X- BB (11,13)",,,
Apparently I have an attitude,424B,Black,Solid,,X,"X- BB (11,13)",,,
Couch Party Animal,425W,White,Solid,X,,"X- BB (11,13)",,,
Couch Party Animal,425B,Black,Solid,X,,"X- BB (11,13)",,,
Adulting one star review,426W,White,Solid,,,"X- BB (11,13)",,,
Adulting one star review,426B,Black,Solid,,,"X- BB (11,13)",,,
Cancel my subscription I'm done with your issues,427W,White,Solid,,,"X- BB (11,13)",,,
Cancel my subscription I'm done with your issues,427B,Black,Solid,,,"X- BB (11,13)",,,
I'm not a control Freak but you're doing it wrong,429W,White,Solid,,X,"X- BB (11,13)",,,
I'm not a control Freak but you're doing it wrong,429B,Black,Solid,,X,"X- BB (11,13)",,,
It's a beautiful day to leave me alone,430W,White,Solid,,X,cant find design ,,,
It's a beautiful day to leave me alone,430B,Black,Solid,,X,cant find design ,,,
If You met My Family You Would Understsand,431W,White,Solid,,X,"X- BB (11,13)",,,
If You met My Family You Would Understsand,431B,Black,Solid,,X,"X- BB (11,13)",,,
Slay The Day,432W,White,Solid,,X,cant find design ,,,
Slay The Day,432B,Black,Solid,,X,cant find design ,,,
me? Sarcastic? never.,433W,Black,Solid,,X,"X- BB (11,13)",,,
me? Sarcastic? never.,433B,White,Solid,,X,"X- BB (11,13)",,,
It's Okay To Be Okay,434W,White,Solid,,X,"X- BB (11,13)",,,
It's Okay To Be Okay,434B,Black,Solid,,X,"X- BB (11,13)",,,
Slay the Day,435W,White,Solid,,X,"X- BB (11,13)",,,
Slay the Day,435B,Black,Solid,,X,"X- BB (11,13)",,,
Sometimes I have no idea what I'm doing,436B,Black,Solid,,X,"X- BB (11,13)",,,
Sometimes I have no idea what I'm doing,436W,White,Solid,,X,"X- BB (11,13)",,,
Retro meh,437M,Multi,DTF,,,"X- BB (8,10,11,13)",,,
It's fine colorful,438M,Multi,DTF,,,"X- BB (8,10,11,13)",,,
Doing my best,439B,Black,Solid,,X,"X- BB (5,8,10,11,13)",,,
Doing my best,439W,White,Solid,,X,"X- BB (5,8,10,11,13)",,,
If you think i'm short you should see my patience,440B,Black,Solid,,X,"X- BB (11,13)",,,
If you think i'm short you should see my patience,440W,White,Solid,,X,"X- BB (11,13)",,,
Fearless,441B,Black,Solid,,X,"X- BB (5,8,10,11,13)",,,
Fearless,441W,White,Solid,,X,"X- BB (5,8,10,11,13)",,,
Cleverly disguised as a responsible adult,442B,Black,Distressed,,X,"X- BB (11,13)",,,
Cleverly disguised as a responsible adult,442W,White,Distressed,,X,"X- BB (11,13)",,,
I don't have ducks or a row,443B,Black,Solid,,X,"X- BB (11,13)",,,
I don't have ducks or a row,443W,White,Solid,,X,"X- BB (11,13)",,,
Apparently we are trouble together,444W,White,Solid,X,,"X- BB (5,8,10,11,13)",,,
Apparently we are trouble together,444B,Black,Solid,X,,"X- BB (5,8,10,11,13)",,,
Bad vibes don't go with my outfit,445B,Black,Solid,,X,"X- BB (11,13)",,,
Bad vibes don't go with my outfit,445W,White,Solid,,,"X- BB (11,13)",,,
Being an adult is like the dumbest,446B,Black,Solid,,X,"X- BB (11,13)",,,
being an adult is like the dumbest,446W,White,Solid,,X,"X- BB (11,13)",,,
Fun fact I don't care,447B,Black,Solid,,X,"X- BB (11,13)",,,
Fun fact I don't care,447W,White,Solid,,X,"X- BB (11,13)",,,
I love talking to myself,448B,Black,Solid,,,"X- BB (11,13)",,,
I love talking to myself,448W,White,Solid,,X,"X- BB (11,13)",,,
I tried to be normal once,449B,Black,Solid,,,"X- BB (11,13)",,,
I tried to be normal once,449W,White,Solid,,X,"X- BB (11,13)",,,
I'm not bossy,450B,Black,Solid,X,X,"X- BB (11,13)",,,
I'm not bossy,450W,White,Solid,X,X,"X- BB (11,13)",,,
Probably late for something,451B,Black,Solid,X,X,"X- BB (11,13)",,,
Probably late for something,451W,White,Solid,X,,"X- BB (11,13)",,,
What ever,452B,Black,Solid,,,"X- BB (11,13)",,,
What ever,452W,White,Solid,,,"X- BB (11,13)",,,
I've got a good heart,453B,Black,Solid,,,"X- BB (11,13)",,,
I've got a good heart,453W,White,Solid,,X,"X- BB (11,13)",,,
Functional adult,454B,Black,Solid,,X,"X- BB (11,13)",,,
Functional adult,454W,White,Solid,,X,"X- BB (11,13)",,,
A little bit dramatic,455B,Black,Solid,X,X,"X- BB (11,13)",,,
A little bit dramatic,455W,White,Solid,X,,"X- BB (11,13)",,,
Don't Blame me I married into this,456B,Black,Solid,,X,"X- BB (11,13)",,,
Don't Blame me I married into this,456W,White,Solid,,,"X- BB (11,13)",,,
Ruined by responsibility,457B,Black,Distressed,,X,x,,,
Ruined by responsibility,457W,White,Distressed,,X,x,,,
I'm not always sarcastic sometimes I'm asleep,458B,Black,Distressed,,X,"X- BB (11,13)",,,
I'm not always sarcastic sometimes I'm asleep,458W,White,Distressed,,X,"X- BB (11,13)",,,
Not bossy aggressively helpful,459B,Black,Solid,X,X,"X- BB (11,13)",,,
Not bossy aggressively helpful,459W,White,Solid,X,X,"X- BB (11,13)",,,
I see no good reason to act my age,460B,Black,Distressed,,X,"X- BB (11,13)",,,
I see no good reason to act my age,460W,White,Distressed,,X,"X- BB (11,13)",,,
I'm not for everyone,461B,Black,Solid,,X,"X- BB (11,13)",,,
I'm not for everyone,461W,White,Solid,,X,"X- BB (11,13)",,,
Captain of the struggle bus,462B,Black,Distressed,X,X,"X- BB (11,13)",,,
Captain of the struggle bus,462W,White,Distressed,X,X,"X- BB (11,13)",,,
Socially awkward smiley face,463B,Black,Solid,,,"X- BB (11,13)",,,
Socially awkward smiley face,463W,White,Solid,,,"X- BB (11,13)",,,
Hardcore homebody,464B,Black,Solid,X,,,,,
Hardcore homebody,464W,White,Solid,X,X,,,,
Where's the unsubscribe button,465B,Black,Solid,X,X,"X- BB (11,13)",,,
Where's the unsubscribe button,465W,White,Solid,X,,"X- BB (11,13)",,,
Moody smiley face wavy,466B,Black,Solid,X,,x- PP,,,
Moody smiley face wavy,466W,White,Solid,X,X,x- PP,,,
I can be Flexible,467B,Black,DTF,X,X,"X- BB (11,13)",,,
I can be Flexible,467W,White,DTF,X,,"X- BB (11,13)",,,
Professional Overthinker Circle,468B,Black,Solid,X,,"X- BB (11,13)",,,
Professional Overthinker Circle,468W,White,Solid,X,X,"X- BB (11,13)",,,
Not Bossy Distressed,469B,Black,Distressed,,X,"X- BB (11,13)",,,
Not Bossy Distressed,469W,White,Distressed,,X,"X- BB (11,13)",,,
Socially Awkward Smiley Face Front,470B,Black,Solid,,,,,,
Socially Awkward Smiley Face Front,470W,White,Solid,,,,,,
Sarcasm Major,471B,Black,Solid,,,"X- BB (11,13)",,,
Sarcasm Major,471W,White,Solid,,,"X- BB (11,13)",,,
Antisocial Vibes Only,472M,Multi,DTF,,,"X- BB (11,13)",,,
Overthinking All Day,473B,Black,Solid,X,X,"X- BB (11,13)",,,
Overthinking All Day,473W,White,Solid,X,,"X- BB (11,13)",,,
Roll Eyes Out Loud,474B,Black,Solid,X,,"X- BB (11,13)",,,
Roll Eyes Out Loud,474W,White,Solid,X,X,"X- BB (11,13)",,,
Sarcastic Answer,475B,Black,Solid,X,X,"X- BB (11,13)",,,
Sarcastic Answer,475W,White,Solid,X,X,"X- BB (11,13)",,,
"Hi, I'm The Problem It's Me",476M,Multi,DTF,,,"X- BB (11,13)",,,
Caution I Have No Filter,477B,Black,Solid,X,X,"X- BB (11,13)",,,
Caution I Have No Filter,477W,White,Solid,X,,"X- BB (11,13)",,,
I'm Nicer Than My Face Looks,478B,Black,Solid,,,"X- BB (11,13)",,,
I'm Nicer Than My Face Looks,478W,White,Solid,,,"X- BB (11,13)",,,
Sarcasm Is My Love Language,479B,Black,Solid,X,X,"X- BB (11,13)",,,
Sarcasm Is My Love Language,479W,White,Solid,X,,"X- BB (11,13)",,,
What Ever Cursive,480B,Black,Solid,X,X,"X- BB (11,13)",,,
What Ever Cursive,480W,White,Solid,X,,"X- BB (11,13)",,,
Call Me Antisocial,481B,Black,Solid,X,X,"X- BB (11,13)",,,
Call Me Antisocial,481W,White,Solid,X,,"X- BB (11,13)",,,
Pause Adulting And Lower Difficulty,482B,Black,Solid,,,"X- BB (11,13)",,,
Pause Adulting And Lower Difficulty,482W,White,Solid,,,"X- BB (11,13)",,,
Act My Age,483B,Black,Solid,X,,"X- BB (11,13)",,,
Act My Age,483W,White,Solid,X,X,"X- BB (11,13)",,,
Know It All University,484W,White,Solid,,,"X- BB (11,13)",,,
Know It All University,484B,Black,Solid,,,"X- BB (11,13)",,,
Homebody Wavy,489B,Black,DTF,,,x- PP,,,
Homebody Wavy,489W,White,DTF,,,x- PP,,,
,,,,,,,,,
TEACHER 500-599,,,,,,,,,
Teach Love Inspire,501W,White,Solid,X,X,"X- BB (11,13)",,,
Teach Love Inspire,501B,Black,Solid,X,X,"X- BB (11,13)",,,
Educational Rock Star,502W,White,Solid,X,X,"X- BB (11,13)",,,
Educational Rock Star,502B,Black,Solid,X,X,"X- BB (11,13)",,,
Teaching Tiny People,503W,White,DTF,X,,"X- BB (11,13)",,,
Teaching Tiny People,503B,Black,DTF,X,,"X- BB (11,13)",,,
My Favorite people call me Teacher,504W,White,Solid,X,X,"X- BB (11,13)",,,
My Favorite people call me Teacher,504B,Black,Solid,X,X,"X- BB (11,13)",,,
Teaching is a Walk in the Jurassic Park,505W,White,Distressed,X,,cant find design ,,,
Teaching is a Walk in the Jurassic Park,505B,Black,Distressed,X,,cant find design ,,,
There Their They're,506W,White,Solid,X,X,,,,
There Their They're,506B,Black,Solid,X,X,,,,
Teach from the heart not from the book,507W,White,Solid,X,X,"X- BB (11,13)",,,
Teach from the heart not from the book,507B,Black,Solid,X,X,"X- BB (11,13)",,,
Happiness is Being A Teacher,508W,White,Solid,X,X,"X- BB (11,13)",,,
Happiness is Being A Teacher,508B,Black,Solid,X,X,"X- BB (11,13)",,,
Teacher life is the best life,509W,White,Solid,X,X,"X- BB (11,13)",,,
Teacher life is the best life,509B,Black,Solid,X,X,"X- BB (11,13)",,,
Teach Grade Sleep Repeat,510W,White,Solid,X,,"X- BB (11,13)",,,
Teach Grade Sleep Repeat,510B,Black,Solid,X,,"X- BB (11,13)",,,
,,,,,,,,,
,,,,,,,,,
Teacher Livin The Dream,512W,White,Solid,X,X,,,,
Teacher Livin The Dream,512B,Black,Solid,X,X,,,,
Teaching My Tribe,513W,White,DTF,X,,,,,
Teaching My Tribe,513B,Black,DTF,X,,,,,
Teacher Live Love Learn,514W,White,Solid,X,X,,,,
Teacher Live Love Learn,514B,Black,Solid,X,X,,,,
Lets Eat Kids ,515W,White,Distressed,X,X,,,,
Lets Eat Kids ,515B,Black,Distressed,X,X,,,,
Teacher Definition,516W,White,Distressed,,X,,,,
Teacher Definition,516B,Black,Distressed,,,,,,
Only The Brave Teach,517W,White,Solid,X,,,,,
Only The Brave Teach,517B,Black,Solid,X,X,,,,
The Future Of The World Is In My Classroom ,518W,White,Distressed,X,X,,,,
The Future Of The World Is In My Classroom ,518B,Black,Distressed,X,X,,,,
Dedicated Teacher,519W,White,Solid,,X,,,,
Dedicated Teacher,519B,Black,Solid,,X,,,,
My Students are on point,520W,White,DTF,X,,,,,
My Students are on point,520B,Black,DTF,X,,,,,
Teacher Strong,521W,White,Solid,,X,,,,
Teacher Strong,521B,Black,Solid,,X,,,,
The influence of a good teacher,522W,White,Solid,X,,,,,
The influence of a good teacher,522B,Black,Solid,X,X,,,,
It's A Beautiful Day to Learn,523W,White,Solid,X,,,,,
It's A Beautiful Day to Learn,523B,Black,Solid,X,,,,,
Retro teacher vibes,524M,Multi,DTF,,,,,,
Teaching is a work of heart,525B,Black,Solid,X,,,,,
Teaching is a work of heart,525W,White,Solid,X,X,,,,
Teach kindness,526B,Black,Solid,,X,,,,
Teach kindness,526W,White,Solid,,,,,,
difference maker,527B,Black,Solid,X,,,,,
difference maker,527W,White,Solid,X,,,,,
Teacher Mode apple,528B,Black,Solid,X,X,,,,
Teacher Mode apple,528W,White,Solid,X,X,,,,
One loved teacher apple,529B,Black,Solid,X,,,,,
One loved teacher apple,529W,White,Solid,X,,,,,
Synonym Rolls,530B,Black,Solid,X,,,,,
Synonym Rolls,530W,White,Solid,X,,,,,
Their There They're Words,531B,Black,Solid,X,,,,,
Their There They're Words,531W,White,Solid,X,X,,,,
"Wait, What?",532B,Black,Solid,,,,,,
"Wait, What?",532W,White,Solid,,,,,,
teach them to be kind retro,533B,Black,Solid,X,X,,,,
teach them to be kind retro,533W,White,Solid,X,,,,,
Motivator Believer Innovator Educator,534B,Black,Solid,X,,,,,
Motivator Believer Innovator Educator,534W,White,Solid,X,X,,,,
Made to teach,535B,Black,Solid,X,,,,,
Made to teach,535W,White,Solid,X,X,,,,
Teach peace,536B,Black,Solid,,,,,,
Teach peace,536W,White,Solid,,,,,,
Teach with love,537B,Black,Solid,,,,,,
Teach with love,537W,White,Solid,,,,,,
Educational rockstar teacher,538B,Black,Solid,X,X,,,,
Educational rockstar teacher,538W,White,Solid,X,X,,,,
It's a good day to teach smiley face,539M,Multi,DTF,,,,,,
Retro Be Nice Apple,540M,Multi,DTF,,,,,,
Retro Teaching is a Work of Heart,541M,Multi,DTF,,,,,,
Teaching is a Work of Heart Apple,542M,Multi,DTF,,,,,,
Teaching is a Work of Heart Words,543M,Multi,DTF,,,,,,
A Teacher Touches a Heart,544B,Black,Solid,,,,,,
A Teacher Touches a Heart,544W,White,Solid,,,,,,
Colorful Flower Apple,545M,Multi,DTF,,,,,,
Colorful Heart Teacher,546M,Multi,DTF,,,,,,
Educate Heart Mini,547B,Black,Solid,X,,,,,
Educate Heart Mini,547W,White,Solid,X,,,,,
Good Day To Teach Rainbow,548M,Multi,DTF,,,,,,
It's A Good Day Tiny Humans,549B,Black,Solid,,,,,,
It's A Good Day Tiny Humans,549W,White,Solid,,,,,,
Made To Teach Wavy Heart,550B,Black,Solid,,,,,,
Made To Teach Wavy Heart,550W,White,Solid,,,,,,
Math is a Piece of PI Colorful,551M,Multi,DTF,,,,,,
Teach Love Inspire Flowers,552M,Multi,DTF,,,,,,
Teacher Stacked Wavy Heart,553B,Black,Solid,X,,,,,
Teacher Stacked Wavy Heart,553W,White,Solid,X,X,,,,
Teacher the Inspirational Element,554B,Black,Solid,,,,,,
Teacher the Inspirational Element,554W,White,Solid,,,,,,
Teachers Plant Seeds,555B,Black,DTF,,,,,,
Teachers Plant Seeds,555W,White,DTF,,,,,,
Teaching Fills My Heart Cursive,556B,Black,Solid,X,,,,,
Teaching Fills My Heart Cursive,556W,White,Solid,X,,,,,
One Loved Teacher Heart Mini,557B,Black,Solid,,,,,,
One Loved Teacher Heart Mini,557W,White,Solid,,,,,,
Checkered Teacher Apple,558M,Multi,DTF,,,,,,
Helping Little Minds Grow,559B,Black,DTF,,,,,,
Helping Little Minds Grow,559W,White,DTF,,,,,,
Teach Love Inspire Apple,560M,Multi,DTF,,,,,,
Teacher Mode All Day,561B,Black,Solid,X,X,,,,
Teacher Mode All Day,561W,White,Solid,X,,,,,
Teacher Vibes Apple,562M,Multi,DTF,,,,,,
Teacher Vibes Cursive Apple,563B,Black,Solid,X,,,,,
Teacher Vibes Cursive Apple,563W,White,Solid,X,,,,,
Teacher Heartbeat,564B,Black,Solid,,,,,,
Teacher Heartbeat,564W,White,Solid,,,,,,
It's A Good Day To Teach,565M,Multi,DTF,,,,,,
Favorite Students Colorful,566M,Multi,DTF,,,,,,
Helping Little Minds Grow Circle,567B,Black,Solid,,,,,,
Helping Little Minds Grow Circle,567W,White,Solid,,,,,,
Teacher Squad Pencil,568M,Multi,DTF,,,,,,
Leopard Teach Tiny Humans,569M,Multi,DTF,,,,,,
Best Teacher In The Galaxy,570M,Multi,DTF,,,,,,
Future Leaders Wavy,571M,Multi,DTF,,,,,,
Gonna Learn Today Bold,572B,Black,Solid,,,,,,
Gonna Learn Today Bold,572W,White,Solid,,,,,,
Good Day To Learn Flowers,573B,Black,Solid,X,,,,,
Good Day To Learn Flowers,573W,White,Solid,X,X,,,,
Keeps Me Going Coffee,574B,Black,Solid,X,,,,,
Keeps Me Going Coffee,574W,White,Solid,X,,,,,
Math Teacher Squad Distressed,575B,Black,DTF,,,,,,
Math Teacher Squad Distressed,575W,White,DTF,,,,,,
School Counselor Wavy,576M,Multi,DTF,,,,,,
Teacher Bold Apple,577M,Mutli,DTF,,,,,,
Teacher Life Leopard Smiley Face,578M,Multi,DTF,,,,,,
Teacher Lightning Bolt,579M,Multi,DTF,,,,,,
Teacher Mode Everyday,580B,Black,Solid,,,,,,
Teacher Mode Everyday,580W,White,Solid,,,,,,
Teacher Smiley Face Wavy,581M,Multi,DTF,,,,,,
Yall Gonna Learn Today,582M,Multi,DTF,,,,,,
Half Teacher Half Coffee,583M,Multi,DTF,,,,,,
Stacked Teacher,584M,Multi,DTF,,,,,,
Teacher Life Colorful,585M,Multi,DTF,,,,,,
Teacher Rainbow,586B,Black,Solid,,,,,,
Teacher Rainbow,586W,White,Solid,,,,,,
Teachers Plant Seeds That Grow Forever,587B,Black,DTF,x,x,,,,
Teachers Plant Seeds That Grow Forever,587W,White,DTF,x,,,,,
The Influence of a good teacher Apple,588B,Black,Solid,,,,,,
The Influence of a good teacher Apple,588W,White,Solid,,,,,,
Teacher Grunge,589M,Multi,DTF,,,,,,
Apple Heart Mini,590B,Black,Solid,,,,,,
